Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),dataset,row_number,quality_issues,Work,Work ID,IDA,Hon'ble Members of Parliament,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ ),Calamity Type,Calamity Name,Date of Consent,Consent Amount ( ₹ ),Work Category,Work Description,Image,Completion Date,Amount Disbursed ( ₹ ),Work category,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status,WORK,Elected/Nominated,RECOMMENDED AMOUNT   ( ₹ )
6585,Andhra Pradesh,,NELLORE(SC),,Works Completed.csv,6586,MISSING_OR_BLANK,"WS/MP18014/2024-2025/167382-Construction of roads, link roads, pathways or any other road with or without drainage system",,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),PRABHAKAR REDDY VEMIREDDY,,,,,,,,,Normal/Others,Laying of CC Road and Construction of CC Culvert From LIG-1-499 to LIG 1-401 at Kallurupalli Housing Board in Division No.24 of Nellore Municipal Corporation,,06-May-25,1986240,,,,,,,,,
6588,Haryana,,BHIWANI MAHENDRAGARH,,Works Completed.csv,6589,MISSING_OR_BLANK,WS/MP329/2025-2026/187080-Improvement of electricity distribution infrastructure,,MAHENDRAGARH(DEPUTY COMMISSIONER MAHENDRAGARH_IDA),Shri  Dharambir Singh,,,,,,,,,Normal/Others,Shifting of 11KV Bara Baag AP feeder H pole with 100KVA SOP to 14 No. wale Moh. Dayal Nagar Near Kaddiyo wala Mandir,,29-Sep-25,80000,,,,,,,,,
6592,Gujarat,,KHEDA,,Works Completed.csv,6593,MISSING_OR_BLANK,"WS/	 MP005/2024-2025/175232-Construction of roads, link roads, pathways or any other road with or without drainage system",,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,,,,,,,,,Normal/Others,Construction Of Paver Block Work at Bharatpura Area Bhanubhai Ranchhodbhai Faliya,,06-May-25,50000,,,,,,,,,
6603,Telangana,,NIZAMABAD,,Works Completed.csv,6604,MISSING_OR_BLANK,WS/MP761/2025-2026/171647-Construction of additional rooms and halls in the existing public and community building,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,"Construction of additional room on 1st floor of existing community hall near kisan munnurukapu sangham, Div No 5",,06-May-25,400000,,,,,,,,,
6611,West Bengal,,ULUBERIA,,Works Completed.csv,6612,MISSING_OR_BLANK,WS/MP829/2024-2025/173617-Lighting of public spaces,,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Smt Sajda Ahmed,,,,,,,,,Normal/Others,Installation of High Mast Light in front  of Mollapara Masjid and ICDS center,,29-Jul-25,150000,,,,,,,,,
6615,Madhya Pradesh,,SIDHI,,Works Completed.csv,6616,MISSING_OR_BLANK,WS/MP18109/2024-2025/175932-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6617,Madhya Pradesh,,SIDHI,,Works Completed.csv,6618,MISSING_OR_BLANK,WS/MP18109/2024-2025/175933-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6618,Madhya Pradesh,,SIDHI,,Works Completed.csv,6619,MISSING_OR_BLANK,WS/MP18109/2024-2025/175934-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6619,Madhya Pradesh,,SIDHI,,Works Completed.csv,6620,MISSING_OR_BLANK,WS/MP18109/2024-2025/175935-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6620,Madhya Pradesh,,SIDHI,,Works Completed.csv,6621,MISSING_OR_BLANK,WS/MP18109/2024-2025/175936-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6623,Madhya Pradesh,,SIDHI,,Works Completed.csv,6624,MISSING_OR_BLANK,WS/MP18109/2024-2025/175937-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6624,Madhya Pradesh,,SIDHI,,Works Completed.csv,6625,MISSING_OR_BLANK,WS/MP18109/2024-2025/175938-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6625,Madhya Pradesh,,SIDHI,,Works Completed.csv,6626,MISSING_OR_BLANK,WS/MP18109/2024-2025/175939-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6626,Madhya Pradesh,,SIDHI,,Works Completed.csv,6627,MISSING_OR_BLANK,WS/MP18109/2024-2025/175940-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6627,Madhya Pradesh,,SIDHI,,Works Completed.csv,6628,MISSING_OR_BLANK,WS/MP18109/2024-2025/175941-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6628,Madhya Pradesh,,SIDHI,,Works Completed.csv,6629,MISSING_OR_BLANK,WS/MP18109/2024-2025/175942-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6629,Madhya Pradesh,,CHHINDWARA,,Works Completed.csv,6630,MISSING_OR_BLANK,WS/MP18100/2025-2026/180516-Purchase of mobile water tankers,,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,,,,,,,,,Normal/Others,Purchase Water Tanker GP Belkheda,,06-May-25,125000,,,,,,,,,
6630,Madhya Pradesh,,SIDHI,,Works Completed.csv,6631,MISSING_OR_BLANK,WS/MP18109/2024-2025/175943-Street lights,,SHAHDOL(District Collector Shahdol_IDA),DR. RAJESH MISHRA,,,,,,,,,Normal/Others,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,,17-Feb-26,1157705,,,,,,,,,
6640,Punjab,,AMRITSAR,,Works Completed.csv,6641,MISSING_OR_BLANK,WS/MP381/2025-2026/184592-Purchase of immovable sports equipment,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,,,,,,,,,Normal/Others,FOR PURCHASE OF WRESTLING MAT,,09-Feb-26,500000,,,,,,,,,
6651,Punjab,,FIROZPUR,,Works Completed.csv,6652,MISSING_OR_BLANK,WS/MP18153/2024-2025/183012-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Model Sen. Sec. School Usman Wala,,11-Jul-25,232650,,,,,,,,,
6652,Punjab,,FIROZPUR,,Works Completed.csv,6653,MISSING_OR_BLANK,WS/MP18153/2024-2025/183009-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Lakha Hazi,,23-Jul-25,232415,,,,,,,,,
6653,Punjab,,FIROZPUR,,Works Completed.csv,6654,MISSING_OR_BLANK,WS/MP18153/2024-2025/183010-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Kalu Arian Hithar,,23-Jul-25,232368,,,,,,,,,
6654,Punjab,,FIROZPUR,,Works Completed.csv,6655,MISSING_OR_BLANK,WS/MP18153/2024-2025/183011-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Kamal Wala Khurd,,20-Jun-25,232885,,,,,,,,,
6655,Punjab,,FIROZPUR,,Works Completed.csv,6656,MISSING_OR_BLANK,WS/MP18153/2024-2025/183018-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Lakha Singh Wala Hithar,,11-Jul-25,232979,,,,,,,,,
6656,Punjab,,FIROZPUR,,Works Completed.csv,6657,MISSING_OR_BLANK,WS/MP18153/2024-2025/183017-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Pojo ke Uttar,,11-Jul-25,232603,,,,,,,,,
6657,Punjab,,FIROZPUR,,Works Completed.csv,6658,MISSING_OR_BLANK,WS/MP18153/2024-2025/183016-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. High School Chak Ghubai urf Tangan,,17-Jul-25,232767,,,,,,,,,
6659,Punjab,,FIROZPUR,,Works Completed.csv,6660,MISSING_OR_BLANK,WS/MP18153/2024-2025/183015-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. High School Karma,,20-Jun-25,233049,,,,,,,,,
6660,Punjab,,FIROZPUR,,Works Completed.csv,6661,MISSING_OR_BLANK,WS/MP18153/2024-2025/183014-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Karma,,23-Jul-25,233002,,,,,,,,,
6661,Punjab,,FIROZPUR,,Works Completed.csv,6662,MISSING_OR_BLANK,WS/MP18153/2024-2025/183024-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Ahmad Dhandi,,23-Jul-25,232603,,,,,,,,,
6662,Punjab,,FIROZPUR,,Works Completed.csv,6663,MISSING_OR_BLANK,WS/MP18153/2024-2025/183023-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Jama Rakhiya Hithar,,17-Jul-25,232650,,,,,,,,,
6663,Punjab,,FIROZPUR,,Works Completed.csv,6664,MISSING_OR_BLANK,WS/MP18153/2024-2025/183022-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Rao ke Hithar,,20-Jun-25,233073,,,,,,,,,
6664,Punjab,,FIROZPUR,,Works Completed.csv,6665,MISSING_OR_BLANK,WS/MP18153/2024-2025/183021-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Chak Rao ke Hithar,,23-Jul-25,232720,,,,,,,,,
6666,Punjab,,FIROZPUR,,Works Completed.csv,6667,MISSING_OR_BLANK,WS/MP18153/2024-2025/183020-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Loombri Wala,,22-Aug-25,233120,,,,,,,,,
6669,Punjab,,FIROZPUR,,Works Completed.csv,6670,MISSING_OR_BLANK,WS/MP18153/2024-2025/183019-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Model Sen. Sec. School Guddar Dhandi,,11-Jul-25,232932,,,,,,,,,
6671,Punjab,,FIROZPUR,,Works Completed.csv,6672,MISSING_OR_BLANK,WS/MP18153/2024-2025/183031-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Bare Ke,,11-Jul-25,232814,,,,,,,,,
6672,Punjab,,FIROZPUR,,Works Completed.csv,6673,MISSING_OR_BLANK,WS/MP18153/2024-2025/183030-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Pir Ismyle Khan,,17-Jul-25,232579,,,,,,,,,
6673,Punjab,,FIROZPUR,,Works Completed.csv,6674,MISSING_OR_BLANK,WS/MP18153/2024-2025/183029-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Ruhela Hazi Uttar,,23-Jul-25,233002,,,,,,,,,
6674,Punjab,,FIROZPUR,,Works Completed.csv,6675,MISSING_OR_BLANK,WS/MP18153/2024-2025/183028-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Jalal Wala,,17-Jul-25,232791,,,,,,,,,
6675,Punjab,,FIROZPUR,,Works Completed.csv,6676,MISSING_OR_BLANK,WS/MP18153/2024-2025/183027-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Tarida,,20-Jun-25,233026,,,,,,,,,
6676,Tamil Nadu,,DHARAMAPURI,,Works Completed.csv,6677,MISSING_OR_BLANK,WS/MP18175/2025-2026/179447-Purchase of hospital equipment,,DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA),MANI. A.,,,,,,,,,Normal/Others,Procurement and supply of Chest X-Ray DR Panel 17x17 ERAY Gold 17x17 Machine 1-No.,,07-May-25,678720,,,,,,,,,
6677,Punjab,,FIROZPUR,,Works Completed.csv,6678,MISSING_OR_BLANK,WS/MP18153/2024-2025/183026-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. High School Khunder Uttar,,11-Jul-25,232955,,,,,,,,,
6678,Punjab,,FIROZPUR,,Works Completed.csv,6679,MISSING_OR_BLANK,WS/MP18153/2024-2025/183025-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Raja Rai,,20-Jun-25,232979,,,,,,,,,
6679,Punjab,,FIROZPUR,,Works Completed.csv,6680,MISSING_OR_BLANK,WS/MP18153/2024-2025/183036-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Dhira Ghara,,25-Jul-25,232838,,,,,,,,,
6680,Punjab,,FIROZPUR,,Works Completed.csv,6681,MISSING_OR_BLANK,WS/MP18153/2024-2025/183035-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Sen. Sec. School Dhira Ghara,,11-Jul-25,232838,,,,,,,,,
6681,Punjab,,FIROZPUR,,Works Completed.csv,6682,MISSING_OR_BLANK,WS/MP18153/2024-2025/183034-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Habib Wala,,17-Jul-25,232955,,,,,,,,,
6682,Punjab,,FIROZPUR,,Works Completed.csv,6683,MISSING_OR_BLANK,WS/MP18153/2024-2025/183033-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Gulam Hussain Wala,,11-Jul-25,232650,,,,,,,,,
6683,Punjab,,FIROZPUR,,Works Completed.csv,6684,MISSING_OR_BLANK,WS/MP18153/2024-2025/183032-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Hussaini Wal Workshop,,17-Jul-25,232885,,,,,,,,,
6684,Punjab,,FIROZPUR,,Works Completed.csv,6685,MISSING_OR_BLANK,WS/MP18153/2024-2025/183037-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Basti Tanka wali,,11-Aug-25,232932,,,,,,,,,
6685,Rajasthan,,JHUNJHUNU,,Works Completed.csv,6686,MISSING_OR_BLANK,WS/MP18167/2024-2025/174570-Installing tube-wells and borewells,,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,,,,,,,,,Normal/Others,New tubewell in place of dried tubewell in Bhir. Working agency Bhir Panchayat,,13-Feb-26,699887,,,,,,,,,
6687,Punjab,,FIROZPUR,,Works Completed.csv,6688,MISSING_OR_BLANK,WS/MP18153/2024-2025/183038-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Do Burji,,20-Jun-25,233049,,,,,,,,,
6689,Punjab,,FIROZPUR,,Works Completed.csv,6690,MISSING_OR_BLANK,WS/MP18153/2024-2025/183039-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Chak Hamad,,23-Jul-25,233002,,,,,,,,,
6690,Punjab,,FIROZPUR,,Works Completed.csv,6691,MISSING_OR_BLANK,WS/MP18153/2024-2025/183013-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System at Govt. Primary School Usman Wala,,17-Jul-25,232532,,,,,,,,,
6694,Rajasthan,,JHUNJHUNU,,Works Completed.csv,6695,MISSING_OR_BLANK,WS/MP18167/2024-2025/174571-Installing tube-wells and borewells,,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,,,,,,,,,Normal/Others,New tubewell in place of dried up tubewell in Bamanwas. Working agency Bamanwas panchayat,,13-Feb-26,699939,,,,,,,,,
6699,Uttar Pradesh,,NAGINA(SC),,Works Completed.csv,6700,MISSING_OR_BLANK,"WS/MP18404/2025-2026/187396-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,,,,,,,,,Normal/Others,FOR DISTRIBUTION OF TEN MOTORIZED TRI CYCLE TO TEN DISABLED PEOPLE,,07-May-25,20000,,,,,,,,,
6705,Uttar Pradesh,,MACHHLISHAHR(SC),,Works Completed.csv,6706,MISSING_OR_BLANK,WS/MP18228/2024-2025/159490-Lighting of public spaces,,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ,,,,,,,,,Normal/Others,KHADAHAR DAGARA SE PESARA MARG PAR MEHODA MODH PAR 01 NAG HIGH MASK SOLAR LIGHT,,12-Jan-26,107932,,,,,,,,,
6706,Uttar Pradesh,,MACHHLISHAHR(SC),,Works Completed.csv,6707,MISSING_OR_BLANK,WS/MP18228/2024-2025/159489-Lighting of public spaces,,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ,,,,,,,,,Normal/Others,MUFTIGANJ BAZAR ME BHOGIPATTI GALI ME KUAN K PASS 01 NAG HIGH MASK SOLAR LIGHT,,12-Jan-26,107932,,,,,,,,,
6709,Uttar Pradesh,,NAGINA(SC),,Works Completed.csv,6710,MISSING_OR_BLANK,"WS/MP18404/2025-2026/187400-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,,,,,,,,,Normal/Others,FOR DISTRIBUTION OF TEN MOTORIZED TRI CYCLE TO TEN DISABLED PEOPLE,,07-May-25,20000,,,,,,,,,
6721,Uttar Pradesh,,MACHHLISHAHR(SC),,Works Completed.csv,6722,MISSING_OR_BLANK,WS/MP18228/2024-2025/159559-Lighting of public spaces,,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ,,,,,,,,,Normal/Others,BLOCK KERAKAT K ANTARGAT SHRI SAI AMAR SHIKSHA NIKETAN THANA GADDI K SAMANE 01 NAG SAOLAR HIGH MASK LIGHT,,12-Jan-26,107932,,,,,,,,,
6747,West Bengal,,DIAMOND HARBOUR,,Works Completed.csv,6748,MISSING_OR_BLANK,"WS/MP423/2024-2025/138264-Construction of roads, link roads, pathways or any other road with or without drainage system",,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,,,,,,,,,Normal/Others,Construction of CC Road from H/O Gunodhar Maity to H/O Laltu Porey. (125.62 mtr),,15-May-25,325777,,,,,,,,,
6755,Uttar Pradesh,,NAGINA(SC),,Works Completed.csv,6756,MISSING_OR_BLANK,"WS/MP18404/2025-2026/187399-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,,,,,,,,,Normal/Others,FOR DISTRIBUTION OF TEN MOTORIZED TRI CYCLE TO TEN DISABLED PEOPLE,,07-May-25,20000,,,,,,,,,
6756,Uttar Pradesh,,NAGINA(SC),,Works Completed.csv,6757,MISSING_OR_BLANK,"WS/MP18404/2025-2026/187398-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,,,,,,,,,Normal/Others,FOR DISTRIBUTION OF TEN MOTORIZED TRI CYCLE TO TEN DISABLED PEOPLE,,07-May-25,20000,,,,,,,,,
6757,Uttar Pradesh,,NAGINA(SC),,Works Completed.csv,6758,MISSING_OR_BLANK,"WS/MP18404/2025-2026/187397-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,,,,,,,,,Normal/Others,FOR DISTRIBUTION OF TEN MOTORIZED TRI CYCLE TO TEN DISABLED PEOPLE,,07-May-25,20000,,,,,,,,,
6759,Uttar Pradesh,,NAGINA(SC),,Works Completed.csv,6760,MISSING_OR_BLANK,"WS/MP18404/2025-2026/187405-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,,,,,,,,,Normal/Others,FOR DISTRIBUTION OF TEN MOTORIZED TRI CYCLE TO TEN DISABLED PEOPLE,,07-May-25,20000,,,,,,,,,
6760,Uttar Pradesh,,NAGINA(SC),,Works Completed.csv,6761,MISSING_OR_BLANK,"WS/MP18404/2025-2026/187404-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,,,,,,,,,Normal/Others,FOR DISTRIBUTION OF TEN MOTORIZED TRI CYCLE TO TEN DISABLED PEOPLE,,07-May-25,20000,,,,,,,,,
6761,Uttar Pradesh,,NAGINA(SC),,Works Completed.csv,6762,MISSING_OR_BLANK,"WS/MP18404/2025-2026/187403-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,,,,,,,,,Normal/Others,FOR DISTRIBUTION OF TEN MOTORIZED TRI CYCLE TO TEN DISABLED PEOPLE,,07-May-25,20000,,,,,,,,,
6762,Uttar Pradesh,,NAGINA(SC),,Works Completed.csv,6763,MISSING_OR_BLANK,"WS/MP18404/2025-2026/187402-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,,,,,,,,,Normal/Others,FOR DISTRIBUTION OF TEN MOTORIZED TRI CYCLE TO TEN DISABLED PEOPLE,,07-May-25,20000,,,,,,,,,
6763,Uttar Pradesh,,NAGINA(SC),,Works Completed.csv,6764,MISSING_OR_BLANK,"WS/MP18404/2025-2026/187401-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,,,,,,,,,Normal/Others,FOR DISTRIBUTION OF TEN MOTORIZED TRI CYCLE TO TEN DISABLED PEOPLE,,07-May-25,20000,,,,,,,,,
6764,Chhattisgarh,,KORBA,,Works Completed.csv,6765,MISSING_OR_BLANK,WS/MP429/2025-2026/145580-Construction of buildings for community cultural activities,,KOREA(Collector Korea_IDA),Jyotsna Charandas Mahant,,,,,,,,,Normal/Others,"Construction of Sanskritik Manch at Gram Panchayat - Banjari Dand, Vikas Khand - Khadgawa",,17-Dec-25,300000,,,,,,,,,
6771,West Bengal,,BARDHAMAN PURBA(SC),,Works Completed.csv,6772,MISSING_OR_BLANK,WS/MP18248/2024-2025/158095-Retrofitting in essential lifeline buildings,,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),DR. SHARMILA SARKAR,,,,,,,,,Normal/Others,"Upgradation of Kamarhati S N High School (HS), Gotan",,16-Jul-25,599729,,,,,,,,,
